Age,CurrentGender,Sex,MaritalStatus,RaceEthnicity,Political,SocialGroup,FoMOMean,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,NFCMean,RFMean,JudgeMean,PersonalRecallMean,SocialRecallMean,PersonalPredictMean,SocialPredictMean
42,2,2,1,White,7,1,4.5,2.25,3.75,2.5,3.25,1.75,2.444444444,7.583333333,-86.14285714,1.928571429,2.142857143,1.142857143,1.285714286
52,2,2,2,White,7,1,2.5,1,4,4.5,2,2.75,2.611111111,7.833333333,-70.14285714,2.071428571,7,2.071428571,7
73,2,2,3,White,6,1,1.7,1.75,4.25,2.75,2.25,3.5,2.944444444,7.083333333,-62.92857143,1.857142857,3.357142857,1.857142857,3.428571429
72,2,2,3,White,4,0,2.5,2.75,3.5,2.25,2.75,2.75,2.777777778,6,-35,5.785714286,5.714285714,5.444444444,5.666666667
47,1,1,2,HispanicLatino,2,0,3.3,2.5,4.25,2.5,2.75,3.25,3.722222222,1.833333333,-52.5,2.785714286,4.285714286,2.111111111,4.111111111
52,1,1,1,White,4,1,3.1,1.75,1.5,1.5,2.25,1,2.5,4.666666667,-70.14285714,3.714285714,4.285714286,3.857142857,4.285714286
26,2,2,2,HispanicLatino,1,1,4,2.5,3.5,2.25,3,2.25,2.166666667,4.5,-52.07142857,3.357142857,3.571428571,2.928571429,2.785714286
75,2,2,1,White,1,0,1.1,1.5,3.5,4.5,1,3,3.111111111,1.666666667,-57.92857143,2,4.571428571,1.333333333,4.444444444
69,2,2,2,White,2,1,2.5,1.75,4,3,3.75,3.75,2.888888889,1.916666667,-77.21428571,4.214285714,5.571428571,3,6.214285714
88,2,2,5,White,3,1,1.5,1.25,2.75,3,1.5,2.25,3.055555556,4.25,-40.5,4.428571429,4.571428571,1.785714286,4
44,1,1,2,White,6,0,3.2,2.5,2.25,2.75,1.75,3,2.444444444,7.5,4.428571429,4.642857143,4.571428571,4.888888889,4.888888889
79,2,2,1,White,1,1,2.4,3,4.5,4,2.75,2.75,2.111111111,4.583333333,-86.14285714,1.214285714,1.357142857,1.142857143,1.142857143
23,2,2,2,White,1,0,2.8,3.25,4.25,4.25,3,4,3.111111111,7.75,-93.64285714,1,1.214285714,1.111111111,1.111111111
71,1,1,1,HispanicLatino,3,0,2.8,4,4.5,4.5,3,3.75,2.611111111,1.416666667,99.21428571,7,7,7,7
50,2,2,1,White,5,1,2.3,3.75,4.25,4.5,3.75,4.25,3.611111111,2.75,-51.35714286,5.571428571,5.428571429,5.071428571,5.214285714
61,2,2,3,White,5,1,2.3,1.25,3,4.25,2.75,1.5,1.833333333,5.333333333,-90,2.857142857,4.714285714,2.428571429,4.714285714
36,2,2,4,White,1,1,1.1,1.75,3,1.5,3,3,2.111111111,3.666666667,-44.78571429,5.357142857,5.5,5.357142857,5.642857143
66,2,2,1,White,5,1,1.9,2.25,3.25,3,2,3.5,3.611111111,5.333333333,-58,2.285714286,3.928571429,2.142857143,4.285714286
30,2,2,1,White,4,0,2.5,3.5,3.25,3.25,3,2.5,2.722222222,5.25,-64.85714286,3.642857143,4.785714286,3.444444444,3.888888889
71,2,2,3,Black,4,0,1.9,2.25,4.5,4,3.5,3,2.5,2.5,-57.71428571,2.071428571,6.5,3.777777778,5.888888889
69,2,2,2,White,4,1,1,2.75,3.75,3.25,0.75,3,1.388888889,3,-13.35714286,1.571428571,2.714285714,1.642857143,4
39,2,2,1,HispanicLatino,6,0,2.3,1.75,2.75,2.75,2,2.5,2.777777778,5.5,-19.35714286,4.142857143,4.571428571,5.222222222,5.555555556
54,2,2,1,White,5,0,1.7,1.75,3,2.5,4,3.25,2.222222222,6.5,-68.14285714,4,5.642857143,3.555555556,4.777777778
