,r2_moral,MAE_moral,r2_fomo,MAE_fomo
ridge,0.5889249262049708,-15.342385982112269,0.30746123739831505,-0.5126046162954795
rf,0.6246005547423811,-13.717716068434667,0.28777386024695223,-0.5203721208882318
svr,0.6003706030011873,-14.558586313505456,0.29746056740517113,-0.4988862905679312
xgboost,0.6194802905720866,-14.321066697813228,0.27753047740806946,-0.5128935074079088
