,r2_moral,MAE_moral,r2_fomo,MAE_fomo
ridge,0.587367415952766,-15.360131333092768,0.3089762857072945,-0.5122249723415842
rf,0.6230116004465998,-13.742461130294883,0.28780473114642047,-0.5206261834524524
svr,0.5997447581185289,-14.592974461784207,0.2913117305128079,-0.5029079921855338
